team,gender,senior_year,youth_level,youth_year,status
New Zealand,w,2019,u17,2010,ingested
Nigeria,w,2019,u17,2010,ingested
Norway,w,2019,u17,2010,not_qualified
Scotland,w,2019,u17,2010,not_qualified
South Africa,w,2019,u17,2010,ingested
South Korea,w,2019,u17,2010,ingested
Spain,w,2019,u17,2010,ingested
Sweden,w,2019,u17,2010,not_qualified
Thailand,w,2019,u17,2010,not_qualified
United States,w,2019,u17,2010,not_qualified
Argentina,w,2019,u17,2012,not_qualified
Australia,w,2019,u17,2012,not_qualified
Brazil,w,2019,u17,2012,ingested
Cameroon,w,2019,u17,2012,not_qualified
Canada,w,2019,u17,2012,ingested
Chile,w,2019,u17,2012,not_qualified
China PR,w,2019,u17,2012,ingested
England,w,2019,u17,2012,not_qualified
France,w,2019,u17,2012,ingested
Germany,w,2019,u17,2012,ingested
Italy,w,2019,u17,2012,not_qualified
Jamaica,w,2019,u17,2012,not_qualified
Japan,w,2019,u17,2012,ingested
Netherlands,w,2019,u17,2012,not_qualified
New Zealand,w,2019,u17,2012,ingested
Nigeria,w,2019,u17,2012,ingested
Norway,w,2019,u17,2012,not_qualified
Scotland,w,2019,u17,2012,not_qualified
South Africa,w,2019,u17,2012,not_qualified
South Korea,w,2019,u17,2012,not_qualified
Spain,w,2019,u17,2012,not_qualified
Sweden,w,2019,u17,2012,not_qualified
Thailand,w,2019,u17,2012,not_qualified
United States,w,2019,u17,2012,ingested
Argentina,w,2019,u17,2014,not_qualified
Australia,w,2019,u17,2014,not_qualified
Brazil,w,2019,u17,2014,not_qualified
Cameroon,w,2019,u17,2014,not_qualified
Canada,w,2019,u17,2014,ingested
Chile,w,2019,u17,2014,not_qualified
China PR,w,2019,u17,2014,ingested
England,w,2019,u17,2014,not_qualified
France,w,2019,u17,2014,not_qualified
Germany,w,2019,u17,2014,ingested
Italy,w,2019,u17,2014,ingested
Jamaica,w,2019,u17,2014,not_qualified
Japan,w,2019,u17,2014,ingested
Netherlands,w,2019,u17,2014,not_qualified
New Zealand,w,2019,u17,2014,ingested
Nigeria,w,2019,u17,2014,ingested
Norway,w,2019,u17,2014,not_qualified
Scotland,w,2019,u17,2014,not_qualified
South Africa,w,2019,u17,2014,not_qualified
South Korea,w,2019,u17,2014,not_qualified
Spain,w,2019,u17,2014,ingested
Sweden,w,2019,u17,2014,not_qualified
Thailand,w,2019,u17,2014,not_qualified
United States,w,2019,u17,2014,not_qualified
Argentina,w,2023,u20,2012,ingested
Australia,w,2023,u20,2012,not_qualified
Brazil,w,2023,u20,2012,ingested
Canada,w,2023,u20,2012,ingested
China PR,w,2023,u20,2012,ingested
Colombia,w,2023,u20,2012,not_qualified
Costa Rica,w,2023,u20,2012,not_qualified
Denmark,w,2023,u20,2012,not_qualified
England,w,2023,u20,2012,not_qualified
France,w,2023,u20,2012,not_qualified
Germany,w,2023,u20,2012,ingested
Haiti,w,2023,u20,2012,not_qualified
Italy,w,2023,u20,2012,ingested
Jamaica,w,2023,u20,2012,not_qualified
Japan,w,2023,u20,2012,ingested
Morocco,w,2023,u20,2012,not_qualified
Netherlands,w,2023,u20,2012,not_qualified
New Zealand,w,2023,u20,2012,ingested
Nigeria,w,2023,u20,2012,ingested
Norway,w,2023,u20,2012,ingested
Panama,w,2023,u20,2012,not_qualified
Philippines,w,2023,u20,2012,not_qualified
Portugal,w,2023,u20,2012,not_qualified
Republic of Ireland,w,2023,u20,2012,not_qualified
South Africa,w,2023,u20,2012,not_qualified
South Korea,w,2023,u20,2012,ingested
Spain,w,2023,u20,2012,not_qualified
Sweden,w,2023,u20,2012,not_qualified
Switzerland,w,2023,u20,2012,ingested
United States,w,2023,u20,2012,ingested
Vietnam,w,2023,u20,2012,not_qualified
Zambia,w,2023,u20,2012,not_qualified
Argentina,w,2023,u20,2014,not_qualified
Australia,w,2023,u20,2014,not_qualified
Brazil,w,2023,u20,2014,ingested
Canada,w,2023,u20,2014,ingested
China PR,w,2023,u20,2014,ingested
Colombia,w,2023,u20,2014,not_qualified
Costa Rica,w,2023,u20,2014,ingested
Denmark,w,2023,u20,2014,not_qualified
England,w,2023,u20,2014,ingested
